ein,founding_year,ruling_date,name,city,state,zip,subsection,foundation_code,ntee_code,asset_amount,income_amount,revenue_amount,found_in_bmf
060813895,1968,196805,POLICY SCIENCES CENTER INC,BOULDER,CO,80302-6421,03,15,,42987,9232,9232,Y
060873123,1972,197208,CONNECTICUT PSYCHIATRIC SOCIETY INC,CENTENNIAL,CO,80112-3891,06,00,,362147,156167,156167,Y
060986624,2010,201011,CLUMBER SPANIEL CLUB OF AMERICA INC,BROOMFIELD,CO,80021-3602,04,00,D60,72607,81585,81585,Y
061045554,2004,200411,ASSOCIATION OF TRADITIONAL HOOKING ARTISTS,BYERS,CO,80103-9817,03,16,A25,399379,153976,153976,Y
061130180,1989,198911,ACTS ONE EIGHT INC,COLORADO SPRINGS,CO,80901-0000,03,15,,0,111649,111649,Y
061302951,,,,,,,,,,,,,N
061461010,,,,,,,,,,,,,N
061622911,,,,,,,,,,,,,N
061677611,,,,,,,,,,,,,N
061682189,,,,,,,,,,,,,N
061686277,2003,200307,HIGH COUNTRY CONSERVATORY OF DANCE,FORT COLLINS,CO,80525-5896,03,15,A62,27854,31525,31525,Y
061703055,2003,200311,AMERICAN HIPPOTHERAPY ASSOCIATION INC,FORT COLLINS,CO,80525-2586,03,16,B60,261678,490826,490535,Y
061703957,2010,201001,NATIONAL EDUCATION SOLUTIONS,LAKEWOOD,CO,80228-2841,03,15,B20,0,0,0,Y
061714846,2004,200408,TABOR OPERA HOUSE PRESERVATION FOUNDATION INC,LEADVILLE,CO,80461-3612,03,15,A80,4366711,1294454,1286505,Y
061719094,2007,200702,COMMUNITY CYCLES,BOULDER,CO,80302-3873,03,15,S20,4518115,1594139,1053175,Y
061727461,2005,200508,OPEN MEDIA FOUNDATION,DENVER,CO,80204-4403,03,16,,1763242,658651,658651,Y
061746666,2006,200608,ALLIED WORKERS LOCAL 28 JOINT APPRENTICESHIP AND TRAINING FUND,AURORA,CO,80010-1419,03,11,B60,0,0,0,Y
061758499,2006,200603,FOUR STATES AGRICULTURAL EXPOSITON,CORTEZ,CO,81321-1290,03,16,K20,29794,31438,5847,Y
061773245,2007,200708,COLORADO SWING DANCE CLUB,DENVER,CO,80220-1850,04,00,A62,0,0,0,Y
061781093,2008,200810,ROARING FORK COMMUNITY DEVELOPMENT CORPORATION,CARBONDALE,CO,81623-2059,03,16,S19,2788018,623686,383931,Y
061787748,1946,194611,PTA COLORADO CONGRESS,ARVADA,CO,80005-5812,03,16,,14686,123654,101718,Y
061798718,2009,200907,CERTIFIED NATURALLY GROWN INC,DENVER,CO,80203-1859,06,00,S41,30754,145459,140318,Y
061802862,,,,,,,,,,,,,N
061805888,2017,201703,ASSOCIATION OF BUILDING GROUNDS AND WAREHOUSE,DENVER,CO,80204-4117,05,00,J40,94037,4284,4284,Y
061829369,2008,200810,COLORADO EGG PRODUCERS ASSOCIATION,BRIGHTON,CO,80601-2041,06,00,S41,83847,110584,110584,Y
101180860,2005,200502,INTERNATIONAL MIDWIFE ASSISTANCE INC,LONGMONT,CO,80501-8812,03,15,E60,381610,115933,115933,Y
112352035,,,,,,,,,,,,,N
112651082,,,,,,,,,,,,,N
112675788,,,,,,,,,,,,,N
112779274,2002,200201,NATIONAL ASSOCIATION OF WASTE TRANSPORTERS INC,BROOMFIELD,CO,80021-0012,06,00,S41,429450,153041,143980,Y
113000997,,,,,,,,,,,,,N
113140689,1968,196808,ALPHA PHI INTERNATIONAL FRATERNITY INC,DENVER,CO,80210-4207,07,00,,44495,119974,119974,Y
113233358,1997,199704,TEACHERS OF ACCOUNTING AT TWO YEAR COLLEGES INC,EATON,CO,80615-9021,06,00,,29983,222749,222749,Y
113294533,,,,,,,,,,,,,N
113332975,,,,,,,,,,,,,N
113384049,,,,,,,,,,,,,N
113491030,,,,,,,,,,,,,N
113642896,,,,,,,,,,,,,N
